from_id,to_id,from_infra,to_infra,distance,length,geometry,v_sea_flow,q_sea_flow
maritime0,maritime2554,maritime,maritime,469.6688713205192,4.472123164723293,"LINESTRING (11 -19.00001907, 13.00000954 -23)",4184095.3282424016,1360.422990738928
maritime964,maritime211,maritime,maritime,1113.223622691298,10.000269378042407,"LINESTRING (-10 -10.00002003, -5.000239849 -10.03672028, 0 -10.00002003)",14584375.595032029,6908.697635036023
maritime2543,maritime211,maritime,maritime,1340.3284855284755,12.042029010771731,"LINESTRING (12 -9.000020027, 6.008409977 -9.550640106, 0 -10.00002003)",73434.8256024714,29.253346830382313
maritime1,maritime233,maritime,maritime,532.6470581026048,5.009238277829386,"LINESTRING (38.90000916 20.74999046, 41.20000076 16.2999897)",50559207.25352065,182207.4160770654
maritime3312,maritime233,maritime,maritime,164.70323255940792,1.5264416405795704,"LINESTRING (42 14.99997997, 41.20000076 16.2999897)",156110584.30564356,271622.97676144104
maritime1,maritime53,maritime,maritime,360.8425320925966,3.4252791089317185,"LINESTRING (38.90000916 20.74999046, 37 23.59999084)",156110584.30564356,271622.97676144104
maritime115,maritime53,maritime,maritime,439.89668535487795,4.220181585204386,"LINESTRING (34.5 26.99998093, 37 23.59999084)",246127117.14912635,279787.5632957772
maritime491,maritime4462,maritime,maritime,213.79461204514274,1.923538311058145,"LINESTRING (-73.90000153 20, -72 20.2999897)",28554204.04181714,49002.75438035331
maritime4,maritime5,maritime,maritime,518.8540168654397,4.662768182933421,"LINESTRING (-179.94639988538609 -21.25909308621693, -175.5 -20.99998093, -175.296936 -20.95126915)",125875224.65137987,113753.65247304853
maritime5,maritime252,maritime,maritime,597.8556740264978,5.381675002609618,"LINESTRING (-175.296936 -20.95126915, -170 -20.00000954)",125875224.65137987,113753.65247304853
maritime6,maritime9,maritime,maritime,38.56697055989688,0.3487900063435014,"LINESTRING (8 -0.000009999999747, 7.999989986 0.3487800062)",40252.81000098312,11.367734032893186
maritime2583,maritime974,maritime,maritime,920.1343645404016,8.276471895456691,"LINESTRING (-7.499989986 3.499989986, -3.746710062 1.752979994, 0 -0.00002)",1275781.7364280187,1261.4809437567753
maritime22,maritime64,maritime,maritime,650.7918932371122,5.852356799478401,"LINESTRING (2.5 4.999989986, 8 2.999969959)",1135946.8992994667,283.1164277757735
maritime974,maritime675,maritime,maritime,1392.1382971431287,12.530002174157643,"LINESTRING (0 -0.00002, 5.486629963 -3.009180069, 11 -6.000030041)",1235528.9264270356,1250.1132097238822
