from_id,to_id,from_infra,to_infra,distance,length,geometry,v_sea_flow,q_sea_flow
maritime1,maritime233,maritime,maritime,532.6470581026048,5.009238277829386,"LINESTRING (38.90000916 20.74999046, 41.20000076 16.2999897)",442112556535.09625,503868547.37980896
maritime3312,maritime233,maritime,maritime,164.70323255940792,1.5264416405795704,"LINESTRING (42 14.99997997, 41.20000076 16.2999897)",535807188435.0665,374286753.2790018
maritime1,maritime53,maritime,maritime,360.8425320925966,3.4252791089317185,"LINESTRING (38.90000916 20.74999046, 37 23.59999084)",560221227953.7052,405956589.8223712
maritime115,maritime53,maritime,maritime,439.89668535487795,4.220181585204386,"LINESTRING (34.5 26.99998093, 37 23.59999084)",519232169586.17664,600641680.8355916
maritime380,maritime4462,maritime,maritime,349.8032095249436,3.1484089925085095,"LINESTRING (-68.90000153 19.75, -72 20.2999897)",3384819.4754151567,464.12095992174807
maritime491,maritime4462,maritime,maritime,213.79461204514274,1.923538311058145,"LINESTRING (-73.90000153 20, -72 20.2999897)",507070.9867594372,695.5960389459134
maritime4469,maritime4462,maritime,maritime,377.24243466060096,3.4175989091773,"LINESTRING (-75.19999695 21.49999046, -72 20.2999897)",6454357.357604928,8506.650023485197
maritime6,maritime9,maritime,maritime,38.56697055989688,0.3487900063435014,"LINESTRING (8 -0.000009999999747, 7.999989986 0.3487800062)",80671.64647477116,10.936383228252106
maritime675,maritime974,maritime,maritime,1392.1382971431287,12.530002174157643,"LINESTRING (11 -6.000030041, 5.486629963 -3.009180069, 0 -0.00002)",44965.93724665911,27.460425963515338
maritime2583,maritime974,maritime,maritime,920.1343645404016,8.276471895456691,"LINESTRING (-7.499989986 3.499989986, -3.746710062 1.752979994, 0 -0.00002)",80671.64647477116,10.936383228252106
maritime22,maritime64,maritime,maritime,650.7918932371122,5.852356799478401,"LINESTRING (2.5 4.999989986, 8 2.999969959)",13036222.339976745,4233.860309901227
maritime10,maritime4243,maritime,maritime,649.7422557096924,6.341129443884454,"LINESTRING (7.5 37.39999008, 2.5 41.29998016)",12483170924.383802,7776223.594199879
maritime4245,maritime4243,maritime,maritime,110.24442003305167,1.3038404740223986,"LINESTRING (2.399990082 39.99998093, 2.5 41.29998016)",111149.75246643714,487.6911854994091
maritime10,maritime2668,maritime,maritime,389.71806213798106,3.5014280186923337,"LINESTRING (7.5 37.39999008, 11 37.49998093)",304263962829.8493,248236748.70307615
maritime11,maritime2668,maritime,maritime,95.40094779186688,0.8570494420098287,"LINESTRING (10.14307976 37.48509979, 11 37.49998093)",58206417.807448864,56566.31496698522
maritime2649,maritime2668,maritime,maritime,477.633934125989,4.341644037518396,"LINESTRING (15.19999027 36.40000153, 11 37.49998093)",324823626240.82623,219001347.9464984
maritime2673,maritime2668,maritime,maritime,193.74299386510208,1.9448801271863767,"LINESTRING (9.649999619 38.90000153, 11 37.49998093)",8866460705.18577,2145021.869097109
maritime2668,maritime2673,maritime,maritime,193.74299386510208,1.9448801271863767,"LINESTRING (11 37.49998093, 9.649999619 38.90000153)",14283332799.556038,3521386.875123485
maritime4261,maritime2673,maritime,maritime,184.8168946930068,2.148675907457859,"LINESTRING (9.999990463 41.01998138, 9.649999619 38.90000153)",8208567876.436843,1696275.5421997749
maritime10,maritime668,maritime,maritime,490.12581978299016,4.404553242191854,"LINESTRING (7.5 37.39999008, 3.099989891 37.19998932)",297493160708.2975,207352435.47996005
maritime2686,maritime668,maritime,maritime,421.40255711128935,3.8327311920032727,"LINESTRING (-0.5999900103 36.20000076, 3.099989891 37.19998932)",269693164230.89743,193104775.48949754
maritime4249,maritime668,maritime,maritime,300.94710994090786,2.9004299684617907,"LINESTRING (0.75 38.90000153, 3.099989891 37.19998932)",25221937197.597157,50213123.12795026
maritime12,maritime13,maritime,maritime,223.62937313609842,2.1045772526973185,"LINESTRING (29.10000038 41.09999084, 30.98076057 42.04444122)",295309663.6115911,572603.6965531445
maritime12,maritime2185,maritime,maritime,461.640692674648,4.338192696095505,"LINESTRING (29.10000038 41.09999084, 33 42.99996948)",1754619243.330067,1676682.8812212392
maritime2226,maritime2185,maritime,maritime,907.0604874087778,8.188400563656375,"LINESTRING (41.09999847 41.79999924, 33 42.99996948)",82257282.10942684,132035.90119818732
maritime4332,maritime2185,maritime,maritime,410.9582510816104,3.9446302853645285,"LINESTRING (36.40000916 44.99998093, 33 42.99996948)",6385379984.031651,26138494.488110647
maritime12,maritime193,maritime,maritime,460.2740773294491,5.455492204292735,"LINESTRING (29.10000038 41.09999084, 30.89999962 46.24998093)",1293415128.7050786,1520527.4744844015
maritime12,maritime4338,maritime,maritime,333.68406050966,3.067560464629283,"LINESTRING (29.10000038 41.09999084, 26.2000103 40.09999847)",50815531180.25745,158858891.83119583
maritime4342,maritime4338,maritime,maritime,98.24917326190428,0.9899707988114197,"LINESTRING (25.5 39.39997864, 26.2000103 40.09999847)",34268703153.40268,34004966.466612875
