from_id,to_id,from_infra,to_infra,distance,length,geometry,q_sea_flow,v_sea_flow
maritime0,maritime1265,maritime,maritime,1229.0813793299706,11.046621293532095,"LINESTRING (11 -19.00001907, 5.516469955 -19.58231926, 0 -20.00000954)",27.83526250358423,48901.338427342846
maritime213,maritime1265,maritime,maritime,1499.7034901958057,14.147998255905755,"LINESTRING (9.999990463 -30.00000954, 4.795499802 -25.08362961, 0 -20.00000954)",11043814.936715286,12591944030.512047
maritime1830,maritime1265,maritime,maritime,1113.2880686849262,10.000957960326243,"LINESTRING (-10 -20.00000954, -5.00041008 -20.06921959, 0 -20.00000954)",91563688.44293946,18773678091.701565
maritime0,maritime2547,maritime,maritime,369.9822288029234,3.50000953,"LINESTRING (11 -19.00001907, 11 -15.50000954)",33045982.248084188,35577577247.315155
maritime2543,maritime2547,maritime,maritime,711.1881145095141,6.576462853929154,"LINESTRING (12 -9.000020027, 11 -15.50000954)",231701059.3556429,83684314365.04367
maritime0,maritime2554,maritime,maritime,469.6688713205192,4.472123164723293,"LINESTRING (11 -19.00001907, 13.00000954 -23)",247888141.0334434,87188504993.92764
maritime2556,maritime2554,maritime,maritime,416.8763340277809,4.123124126237733,"LINESTRING (14.00000954 -27.00001907, 13.00000954 -23)",39698231.9852817,41676627355.798386
maritime213,maritime2106,maritime,maritime,1113.337602874257,10.001728947011511,"LINESTRING (9.999990463 -30.00000954, 4.999529839 -30.09351921, 0.000009999999747 -30.00001907)",13028639.343304655,18653578822.93768
maritime1293,maritime2106,maritime,maritime,1113.3398644091044,10.001749371377908,"LINESTRING (-9.999990463 -30.00000954, -5.000460148 -30.09353065, 0.000009999999747 -30.00001907)",57856379.99793495,24118216077.067566
maritime123,maritime213,maritime,maritime,1006.2290382162435,9.435262427697925,"LINESTRING (18 -35.00001144, 13.90851021 -32.53417969, 9.999990463 -30.00000954)",26066743.21627649,32961936247.57455
maritime1265,maritime213,maritime,maritime,1499.7034901958057,14.147998255905755,"LINESTRING (0 -20.00000954, 4.795499802 -25.08362961, 9.999990463 -30.00000954)",91441318.3555923,18731206756.926933
maritime2106,maritime213,maritime,maritime,1113.337602874257,10.001728947011511,"LINESTRING (0.000009999999747 -30.00001907, 4.999529839 -30.09351921, 9.999990463 -30.00000954)",57856379.99793495,24118216077.067566
maritime2556,maritime213,maritime,maritime,532.6917400512239,5.000009543636368,"LINESTRING (14.00000954 -27.00001907, 9.999990463 -30.00000954)",16368.665950049792,14186283.429395853
maritime0,maritime211,maritime,maritime,1558.0477188584214,14.212685898398306,"LINESTRING (11 -19.00001907, 8.21502018 -16.73146057, 5.45607996 -14.47630978, 2.719039917 -12.23311996, 0 -10.00002003)",7753386.837608175,6441127862.920515
maritime964,maritime211,maritime,maritime,1113.223622691298,10.000269378042407,"LINESTRING (-10 -10.00002003, -5.000239849 -10.03672028, 0 -10.00002003)",151892.85760741244,177584355.22242397
maritime974,maritime211,maritime,maritime,1100.2855423556873,10.000000044579998,"LINESTRING (0 -0.00002, 0.0002699999895 -5.000380039, 0 -10.00002003)",5716459.626739534,1720961076.155802
maritime1348,maritime211,maritime,maritime,1565.2522138894924,14.14243460885243,"LINESTRING (-9.999990463 -0.00002, -7.523960114 -2.511869907, -5.038370132 -5.019010067, -2.533629894 -7.516699791, 0 -10.00002003)",10106737.390961232,1695933263.067935
maritime2543,maritime211,maritime,maritime,1340.3284855284755,12.042029010771731,"LINESTRING (12 -9.000020027, 6.008409977 -9.550640106, 0 -10.00002003)",1673061.0031735655,641243576.5255008
maritime1,maritime233,maritime,maritime,532.6470581026048,5.009238277829386,"LINESTRING (38.90000916 20.74999046, 41.20000076 16.2999897)",673911066.0267539,522824152851.42346
maritime3312,maritime233,maritime,maritime,164.70323255940792,1.5264416405795704,"LINESTRING (42 14.99997997, 41.20000076 16.2999897)",425528982.20937085,600292081340.5856
maritime1,maritime53,maritime,maritime,360.8425320925966,3.4252791089317185,"LINESTRING (38.90000916 20.74999046, 37 23.59999084)",424875663.9336116,577242808310.9495
maritime115,maritime53,maritime,maritime,439.89668535487795,4.220181585204386,"LINESTRING (34.5 26.99998093, 37 23.59999084)",628909887.7157116,532665758272.57043
maritime3,maritime4462,maritime,maritime,151.2039585760564,1.4340207882536922,"LINESTRING (-71.28975677 21.54577065, -72 20.2999897)",10690.88746906918,9155306.90636474
maritime52,maritime4462,maritime,maritime,169.96618729338888,1.6124527329535727,"LINESTRING (-71.19999695 21.69998932, -72 20.2999897)",16672.7124397022,14277684.455316305
maritime380,maritime4462,maritime,maritime,349.8032095249436,3.1484089925085095,"LINESTRING (-68.90000153 19.75, -72 20.2999897)",41818693.807908855,18289258392.047203
maritime381,maritime4462,maritime,maritime,265.10111432260993,2.385852508393508,"LINESTRING (-69.64906311 19.89331055, -72 20.2999897)",568897.0858363744,104923695.53475116
maritime491,maritime4462,maritime,maritime,213.79461204514274,1.923538311058145,"LINESTRING (-73.90000153 20, -72 20.2999897)",582304.5131034222,355940391.1296123
maritime4469,maritime4462,maritime,maritime,377.24243466060096,3.4175989091773,"LINESTRING (-75.19999695 21.49999046, -72 20.2999897)",14690858.653510297,15160253659.873417
maritime4,maritime5,maritime,maritime,518.8540168654397,4.662768182933421,"LINESTRING (-179.94639988538609 -21.25909308621693, -175.5 -20.99998093, -175.296936 -20.95126915)",661749.3045062303,581304676.0557175
maritime5,maritime252,maritime,maritime,597.8556740264978,5.381675002609618,"LINESTRING (-175.296936 -20.95126915, -170 -20.00000954)",608393.2426969269,528221928.3928942
maritime107,maritime252,maritime,maritime,1113.2863913172237,10.00094292589046,"LINESTRING (-160.0000153 -20.00000954, -165.000412 -20.06922913, -170 -20.00000954)",56385.9999093249,77601456.83538494
maritime129,maritime252,maritime,maritime,597.0939375135617,5.643601246768551,"LINESTRING (-170.7000122 -14.39999008, -170 -20.00000954)",58466.42507538959,71226148.69857477
maritime1856,maritime252,maritime,maritime,1499.7020386409708,14.147989071975328,"LINESTRING (-180 -30.00000954, -174.797226 -25.08496094, -170 -20.00000954)",155690.78151079235,361246605.7427582
maritime6,maritime7,maritime,maritime,141.8478681066287,1.2742446080899348,"LINESTRING (8 -0.000009999999747, 6.726019859 0.02594999969)",54022.683263023995,29628674.490845207
maritime6,maritime9,maritime,maritime,38.56697055989688,0.3487900063435014,"LINESTRING (8 -0.000009999999747, 7.999989986 0.3487800062)",465310.760836098,448487636.2231037
maritime6,maritime82,maritime,maritime,88.01352484490586,0.7947797788592048,"LINESTRING (8 -0.000009999999747, 8.376099586 -0.7001699805)",959219.2823706424,567265131.564113
maritime6,maritime974,maritime,maritime,890.5559263530532,8.0000000000625,"LINESTRING (8 -0.000009999999747, 4 -0.00003, 0 -0.00002)",6064153.977174578,2240094776.082981
maritime7,maritime974,maritime,maritime,748.7426124655383,6.726069995513448,"LINESTRING (6.726019859 0.02594999969, 0 -0.00002)",4337.978222946681,11029204.583437376
maritime64,maritime974,maritime,maritime,950.2802081409104,8.5440047099738,"LINESTRING (8 2.999969959, 3.99729991 1.503640056, 0 -0.00002)",4424818.173754984,1836325991.268015
maritime83,maritime974,maritime,maritime,455.7538597198281,4.1231250284705165,"LINESTRING (-1 4, 0 -0.00002)",6048781.393131426,2060143702.278789
maritime211,maritime974,maritime,maritime,1100.2855423556873,10.000000044579998,"LINESTRING (0 -10.00002003, 0.0002699999895 -5.000380039, 0 -0.00002)",5229687.410867257,4800151810.624266
maritime675,maritime974,maritime,maritime,1392.1382971431287,12.530002174157643,"LINESTRING (11 -6.000030041, 5.486629963 -3.009180069, 0 -0.00002)",33491871.109074064,93181838835.36201
maritime964,maritime974,maritime,maritime,1565.2526758562803,14.142439351806063,"LINESTRING (-10 -10.00002003, -7.466750145 -7.516900063, -4.962059975 -5.01928997, -2.476320028 -2.512020111, 0 -0.00002)",137521.62673742577,100169356.26532425
maritime1348,maritime974,maritime,maritime,1113.193846278752,9.999990463,"LINESTRING (-9.999990463 -0.00002, -4.999989986 -0.00002, 0 -0.00002)",69303.47868748673,52124068.00874207
maritime2583,maritime974,maritime,maritime,920.1343645404016,8.276471895456691,"LINESTRING (-7.499989986 3.499989986, -3.746710062 1.752979994, 0 -0.00002)",6450757.462824953,10408853723.405502
maritime6,maritime64,maritime,maritime,331.5731170755698,2.999979958999747,"LINESTRING (8 -0.000009999999747, 8 2.999969959)",22797190.784995116,26030348878.773766
maritime9,maritime64,maritime,maritime,293.0061465339041,2.651189952818912,"LINESTRING (7.999989986 0.3487800062, 8 2.999969959)",259427.24391268534,118479450.53057504
maritime22,maritime64,maritime,maritime,650.7918932371122,5.852356799478401,"LINESTRING (2.5 4.999989986, 8 2.999969959)",39910628.38123302,15225672093.830345
maritime974,maritime64,maritime,maritime,950.2802081409104,8.5440047099738,"LINESTRING (0 -0.00002, 3.99729991 1.503640056, 8 2.999969959)",147635.26038531563,114672300.50862564
maritime6,maritime675,maritime,maritime,741.705783616537,6.708221857720917,"LINESTRING (8 -0.000009999999747, 11 -6.000030041)",85614585.64061813,30279753881.733467
maritime82,maritime675,maritime,maritime,653.733370312666,5.9138287127268425,"LINESTRING (8.376099586 -0.7001699805, 11 -6.000030041)",2883846.8851477546,916406948.5388384
maritime974,maritime675,maritime,maritime,1392.1382971431287,12.530002174157643,"LINESTRING (0 -0.00002, 5.486629963 -3.009180069, 11 -6.000030041)",6381168.4912216645,10111562471.549252
maritime2543,maritime675,maritime,maritime,347.2489367040251,3.1622681600554183,"LINESTRING (12 -9.000020027, 11 -6.000030041)",39881629.0917753,34743919688.073685
maritime10,maritime11,maritime,maritime,294.32209817257046,2.6444497122195263,"LINESTRING (7.5 37.39999008, 10.14307976 37.48509979)",1565404.868668925,1107801130.166254
maritime10,maritime4243,maritime,maritime,649.7422557096924,6.341129443884454,"LINESTRING (7.5 37.39999008, 2.5 41.29998016)",22130635.637187935,26010685184.740135
maritime673,maritime4243,maritime,maritime,311.6192474080705,3.0232397341545454,"LINESTRING (4.999989986 42.99998856, 2.5 41.29998016)",43061593.87121199,88013624010.46707
maritime674,maritime4243,maritime,maritime,41.67627121535143,0.40493376521859187,"LINESTRING (2.831190109 41.53297043, 2.5 41.29998016)",14545.937208592917,20980694.475926265
maritime4245,maritime4243,maritime,maritime,110.24442003305167,1.3038404740223986,"LINESTRING (2.399990082 39.99998093, 2.5 41.29998016)",89965601.86258107,62461232696.569954
maritime4247,maritime4243,maritime,maritime,299.4682339647914,2.8844379118012387,"LINESTRING (0.09999000281 39.70000076, 2.5 41.29998016)",12331965.316784672,10839556016.940113
maritime10,maritime2668,maritime,maritime,389.71806213798106,3.5014280186923337,"LINESTRING (7.5 37.39999008, 11 37.49998093)",431557065.34972405,434446500273.1587
maritime11,maritime2668,maritime,maritime,95.40094779186688,0.8570494420098287,"LINESTRING (10.14307976 37.48509979, 11 37.49998093)",1118223.7282819874,1569992946.0676963
maritime239,maritime2668,maritime,maritime,233.70536585080941,2.570973571696879,"LINESTRING (11.60000038 35, 11 37.49998093)",6995946.456062895,4748786318.183906
maritime2649,maritime2668,maritime,maritime,477.633934125989,4.341644037518396,"LINESTRING (15.19999027 36.40000153, 11 37.49998093)",370620703.6229195,446919224937.27875
maritime2654,maritime2668,maritime,maritime,432.98685710799333,3.992489912831121,"LINESTRING (14.69999981 35.99998856, 11 37.49998093)",43915138.15540938,46828216417.86604
maritime2673,maritime2668,maritime,maritime,193.74299386510208,1.9448801271863767,"LINESTRING (9.649999619 38.90000153, 11 37.49998093)",9375978.440804683,19936175365.71663
maritime10,maritime2673,maritime,maritime,272.89020701128374,2.621551584812177,"LINESTRING (7.5 37.39999008, 9.649999619 38.90000153)",62387158.355884254,46096973817.752045
maritime332,maritime2673,maritime,maritime,518.6832826546533,4.800260826340709,"LINESTRING (14.10000038 40.70000076, 9.649999619 38.90000153)",5600054.887154669,4243436901.1028004
maritime2668,maritime2673,maritime,maritime,193.74299386510208,1.9448801271863767,"LINESTRING (11 37.49998093, 9.649999619 38.90000153)",14983997.148762144,27522148379.94447
maritime4261,maritime2673,maritime,maritime,184.8168946930068,2.148675907457859,"LINESTRING (9.999990463 41.01998138, 9.649999619 38.90000153)",7965447.999536941,18501013490.350178
maritime4295,maritime2673,maritime,maritime,640.1456135257785,5.750869540296078,"LINESTRING (15.39999962 38.79999924, 9.649999619 38.90000153)",17070192.933609124,33895390951.646385
maritime10,maritime668,maritime,maritime,490.12581978299016,4.404553242191854,"LINESTRING (7.5 37.39999008, 3.099989891 37.19998932)",426196944.95957977,495424156581.20703
maritime2686,maritime668,maritime,maritime,421.40255711128935,3.8327311920032727,"LINESTRING (-0.5999900103 36.20000076, 3.099989891 37.19998932)",400338512.95635504,421477607458.951
maritime4249,maritime668,maritime,maritime,300.94710994090786,2.9004299684617907,"LINESTRING (0.75 38.90000153, 3.099989891 37.19998932)",71769695.61016056,40930416115.45147
maritime12,maritime13,maritime,maritime,223.62937313609842,2.1045772526973185,"LINESTRING (29.10000038 41.09999084, 30.98076057 42.04444122)",5594599.948167656,1194537139.704946
maritime12,maritime2185,maritime,maritime,461.640692674648,4.338192696095505,"LINESTRING (29.10000038 41.09999084, 33 42.99996948)",23919229.97810078,15486511482.210728
maritime13,maritime2185,maritime,maritime,238.043724901906,2.233911845021047,"LINESTRING (30.98076057 42.04444122, 33 42.99996948)",26182.790851731006,6847258.667660844
maritime193,maritime2185,maritime,maritime,347.73562224494367,3.8694413060713644,"LINESTRING (30.89999962 46.24998093, 33 42.99996948)",10979992.188786391,1989821141.9014194
maritime2226,maritime2185,maritime,maritime,907.0604874087778,8.188400563656375,"LINESTRING (41.09999847 41.79999924, 33 42.99996948)",21115688.518926173,7179529006.635172
maritime4332,maritime2185,maritime,maritime,410.9582510816104,3.9446302853645285,"LINESTRING (36.40000916 44.99998093, 33 42.99996948)",247282161.52712387,93951152023.84094
maritime12,maritime193,maritime,maritime,460.2740773294491,5.455492204292735,"LINESTRING (29.10000038 41.09999084, 30.89999962 46.24998093)",15347595.119500214,8580196129.096746
maritime2185,maritime193,maritime,maritime,347.73562224494367,3.8694413060713644,"LINESTRING (33 42.99996948, 30.89999962 46.24998093)",24719220.751457408,8563215690.302853
maritime12,maritime4338,maritime,maritime,333.68406050966,3.067560464629283,"LINESTRING (29.10000038 41.09999084, 26.2000103 40.09999847)",408367895.79116064,180725030318.57434
maritime4342,maritime4338,maritime,maritime,98.24917326190428,0.9899707988114197,"LINESTRING (25.5 39.39997864, 26.2000103 40.09999847)",140796426.77885196,108935780737.68246
maritime14,maritime15,maritime,maritime,157.71778381284955,1.4345835683753378,"LINESTRING (179.3000031 -8.899999619, 178.5675354 -7.666500092)",3088.6370199160724,8804565.662686804
maritime14,maritime170,maritime,maritime,983.3532873072093,8.927466274481393,"LINESTRING (179.3000031 -8.899999619, 179.6522827 -4.450369835, 180 -0.00002)",20255.528142612173,31651846.69513581
maritime317,maritime170,maritime,maritime,777.6738076543564,6.987128441706613,"LINESTRING (173.1000061 1.100000024, 176.5503235 0.5509499907, 180 -0.00002)",5297928.703951275,10582434376.8808
maritime1710,maritime170,maritime,maritime,1565.2526894783398,14.14243944498703,"LINESTRING (170 -10.00002003, 172.5332642 -7.516910076, 175.0379181 -5.01928997, 177.5236969 -2.512020111, 180 -0.00002)",1589852.163919961,2544741485.038375
maritime14,maritime1710,maritime,maritime,1042.228356295552,9.36503691325521,"LINESTRING (179.3000031 -8.899999619, 174.6572113 -9.480250359, 170 -10.00002003)",4379.223379812075,32278647.69728058
maritime58,maritime1710,maritime,maritime,1542.9632655098264,14.14475348822838,"LINESTRING (160 -20.00000954, 162.5927124 -17.54438972, 165.1163177 -15.05545044, 167.5818481 -12.53894043, 170 -10.00002003)",960019.8270247419,1697306655.0470147
maritime63,maritime1710,maritime,maritime,844.1660054759556,7.845873233524113,"LINESTRING (168.184906 -17.63305092, 170 -10.00002003)",2573.9798500863158,5900554.405644361
maritime70,maritime1710,maritime,maritime,1113.2236226912923,10.00026937804235,"LINESTRING (160 -10.00002003, 164.9997711 -10.03672028, 170 -10.00002003)",1770993.6855850986,2489809462.141939
maritime170,maritime1710,maritime,maritime,1565.25268947834,14.142439444987028,"LINESTRING (180 -0.00002, 177.5236969 -2.512020111, 175.0379181 -5.01928997, 172.5332642 -7.516910076, 170 -10.00002003)",1502434.6428542319,2193640103.0200453
maritime317,maritime1710,maritime,maritime,1269.713427283937,11.524801431892687,"LINESTRING (173.1000061 1.100000024, 171.5617676 -4.452070236, 170 -10.00002003)",49638.39615239051,60923454.54100682
maritime1462,maritime1710,maritime,maritime,1565.2529645752284,14.142441322631877,"LINESTRING (160 -0.00002, 162.4760437 -2.511869907, 164.9616241 -5.019010067, 167.4663696 -7.516699791, 170 -10.00002003)",248162.9986014427,260048044.690864
maritime3810,maritime1710,maritime,maritime,1176.1297557527591,10.797614212396727,"LINESTRING (176.8999939 -18.30001068, 173.2827301 -14.18173981, 170 -10.00002003)",398073.10046807636,228721304.32847148
maritime15,maritime317,maritime,maritime,1142.500105398939,10.331766592901063,"LINESTRING (178.5675354 -7.666500092, 173.1000061 1.100000024)",3088.6370199160724,8804565.662686804
maritime104,maritime317,maritime,maritime,1756.267229234979,15.837414043841546,"LINESTRING (160 10, 163.3042755 7.782269955, 166.5841675 5.558209896, 169.8470917 3.330189943, 173.1000061 1.100000024)",5076209.347233121,9771610205.701462
maritime170,maritime317,maritime,maritime,777.6738076543564,6.987128441706613,"LINESTRING (180 -0.00002, 176.5503235 0.5509499907, 173.1000061 1.100000024)",44897074.13335661,30559801196.44756
maritime1462,maritime317,maritime,maritime,1463.3495018205833,13.146111805355318,"LINESTRING (160 -0.00002, 166.5494232 0.553550005, 173.1000061 1.100000024)",275444.64864509,881643087.8060068
maritime1710,maritime317,maritime,maritime,1269.713427283937,11.524801431892687,"LINESTRING (170 -10.00002003, 171.5617676 -4.452070236, 173.1000061 1.100000024)",15678.261040251033,6608460.793419695
maritime14,maritime98,maritime,maritime,1022.5889998490258,9.518947716231299,"LINESTRING (179.3000031 -8.899999619, 179.0065918 -13.65114021, 178.6999969 -18.40000916)",649.583505987586,793870.4960102835
