id,infra,name,iso3,Continent_Code,geometry,canal_main,v_out,q_out,v_in,q_in,v_total,q_total
port161,port,Botany Bay_Australia,AUS,OC,POINT (151.2158951934467 -33.98153450901857),Panama,18485.421117702743,9.481429654168513,1948878624.4031112,1293117.7362574842,1948897109.824229,1293127.2176871384
port174,port,Brisbane_Australia,AUS,OC,POINT (153.14558323614085 -27.40850097251321),Panama,6098274.444274978,7794.69561389391,263791099.5096168,150833.63808347893,269889373.95389175,158628.33369737284
port176,port,Broome_Australia,AUS,OC,POINT (122.20673937075573 -18.000500198595883),Panama,449330.5698059755,309.6788108652064,121035.08143355159,17.626614175691476,570365.651239527,327.3054250408979
port331,port,Esperance_Australia,AUS,OC,POINT (121.90073734497213 -33.87217365996532),Panama,212061.5333196883,2355.396225305289,4725.9411359096375,0.8751737933373616,216787.47445559793,2356.2713990986267
port361,port,Fremantle_Australia,AUS,OC,POINT (115.77052416812684 -32.152032519524546),Panama,147109.48088537864,16.393779971368495,37691008.39682543,25614.49761017544,37838117.87771081,25630.891390146808
port398,port,Gladstone_Australia,AUS,OC,POINT (151.21552767768955 -23.819079690458192),Panama,25334193.00776613,24237.36152203965,18583704.117894635,6625.43233075371,43917897.12566076,30862.79385279336
port458,port,Haypoint_Australia,AUS,OC,POINT (149.28745403108044 -21.28124079171913),Panama,57749362.20535692,124962.74219675729,55444074.49635742,39979.57761514595,113193436.70171434,164942.31981190323
port816,port,Newcastle_Australia,AUS,OC,POINT (151.757747141857 -32.89445588348178),Panama,99334627.03593327,153710.6929153021,1438.330335371764,0.1585598958495983,99336065.36626865,153710.85147519794
port930,port,Port Alma_Australia,AUS,OC,POINT (150.86011215382644 -23.584812223961293),Panama,359542.9882522912,585.4054057275383,1122778.4909782528,1329.6727659949206,1482321.479230544,1915.078171722459
port955,port,Port Hedland_Australia,AUS,OC,POINT (118.56434162641783 -20.33066002730353),Panama,59140491.25799133,10469.075175959615,72910.45398904536,414.6261506447532,59213401.71198037,10883.701326604369
port959,port,Port Kembla_Australia,AUS,OC,POINT (150.88448543445628 -34.46209936221515),Panama,37938473.98802294,34917.802342802395,37061323.78979721,40975.03966831066,74999797.77782014,75892.84201111305
port1243,port,Sydney_Australia,AUS,OC,POINT (151.18561722519004 -33.85321044637644),Panama,6751880.156320681,6370.872178504598,2499313.706872984,734.4657035973735,9251193.863193665,7105.337882101971
port1315,port,Townsville_Australia,AUS,OC,POINT (146.83641161719981 -19.25646587785041),Panama,329185153.99658996,112322.09402054525,2743970.357406012,1141.5984767398527,331929124.353996,113463.6924972851
port48,port,Anchorage_U.S.A.,USA,NA,POINT (-149.87432856449828 61.23279292047068),Panama,87105465.45616995,256136.5310652414,62138147.05403947,28952.02067760865,149243612.5102094,285088.55174285005
port103,port,Baltimore_U.S.A.,USA,NA,POINT (-76.5569732963815 39.259760370816956),Panama,3335876857.402607,1454412.5560188673,3362041073.6444626,1783587.1465932534,6697917931.04707,3237999.7026121207
port117,port,Barbor's Point_U.S.A.,USA,NA,POINT (-158.10402873940228 21.310519704249263),Panama,207524388.2671064,142458.87537965947,2287633226.234971,1636520.6814405464,2495157614.5020776,1778979.5568202059
port126,port,Baton Rouge_U.S.A.,USA,NA,POINT (-91.20632260986045 30.43704677406407),Panama,5318432526.689215,10189767.839866249,365026754.280105,346783.629136588,5683459280.969319,10536551.469002837
port134,port,Beaumont_U.S.A.,USA,NA,POINT (-94.03028275477728 30.025823215444778),Panama,1650328708.456851,2622626.580445658,100148291.01097797,82318.2202383145,1750476999.467829,2704944.8006839724
