node,degree,strength,betweenness,eigenvector,cf_closeness,Kbar
port0,135.0,18826532.22320582,0.0,0.004160432430433215,1.4760286834952814e-08,136316.62156071758
port106,329.0,26192249.078277756,0.0,0.003218422578069742,1.4760286834954484e-08,136316.62156071758
port1189,432.0,61401658.653921865,0.0005218812877263581,0.0031115792638423596,1.4760286834956808e-08,136316.62156071758
port1201,406.0,328556010.4792558,0.24376906600895698,0.03427848981033964,1.476028683495823e-08,136316.62156071758
port1414,444.0,76849936.37651716,0.0011952764976958525,0.0035924744192205762,1.4760286834957399e-08,136316.62156071758
port161,379.0,22374285.77348313,0.0,0.002092904932415526,1.4760286834954116e-08,136316.62156071758
port174,329.0,15264715.59609662,0.0,0.0008735199934044603,1.4760286834951134e-08,136316.62156071758
port280,251.0,10436216.725728778,0.0,0.004441562396871198,1.4760286834948459e-08,136316.62156071758
port361,370.0,16028348.257152287,0.0,0.0026045720593461945,1.4760286834951633e-08,136316.62156071758
port434,409.0,19240872.71598182,0.0,0.0019138357284296025,1.4760286834953334e-08,136316.62156071758
port474,460.0,91962989.2924197,0.0,0.009344895343614679,1.4760286834957354e-08,136316.62156071758
port540,382.0,30997457.135073356,0.0,0.00390561343488603,1.4760286834955516e-08,136316.62156071758
port543,357.0,37261547.16757424,0.0020201856299084833,0.004192962904965416,1.476028683495549e-08,136316.62156071758
port729,364.0,13919558.522178045,0.0,0.001461506798118142,1.4760286834951322e-08,136316.62156071758
port777,388.0,26703419.80120766,0.0,0.0019791148127019857,1.4760286834954437e-08,136316.62156071758
port955,254.0,462000089.87998235,0.117524299019926,0.3900566383175689,1.476028683495838e-08,136316.62156071758
port1315,279.0,8510711.675080031,0.0,0.0006906377600481503,1.4760286834945965e-08,136316.62156071758
port391,248.0,21120740.79399121,0.0,0.004371388374439542,1.476028683495365e-08,136316.62156071758
port79,246.0,4282989.473910229,0.0,0.0003575886030768037,1.476028683493316e-08,136316.62156071758
port1280,392.0,11639025.060511228,0.0,0.00044319648089674184,1.4760286834949225e-08,136316.62156071758
port193,366.0,31642914.069798976,0.0006902300902187318,0.0010109726817623956,1.4760286834954997e-08,136316.62156071758
port260,422.0,68242229.52192186,0.01582478743428312,0.0031470509097836163,1.4760286834956899e-08,136316.62156071758
port287,403.0,12026772.057055587,0.0,0.0005290345494738836,1.4760286834949367e-08,136316.62156071758
port504,445.0,40572246.61999119,0.0011279369766989031,0.001619397947207382,1.4760286834955887e-08,136316.62156071758
