scenario,target,metric,spearman_rho,n_nodes,n_edges,ref_size,articulation_points,delta_eff_constant,delta_conn_pairs_constant,top_n_ports,min_edge_flow,ref_mode
sparse_500_flow500,delta_eff,strength,0.8462322746982305,498,80899,160,0,False,True,500,500.0,include_art
sparse_500_flow500,delta_eff,cf_closeness,0.8458390037539363,498,80899,160,0,False,True,500,500.0,include_art
sparse_500_flow500,delta_eff,eigenvector,0.7963318879643736,498,80899,160,0,False,True,500,500.0,include_art
sparse_500_flow500,delta_eff,betweenness,0.7142926871588162,498,80899,160,0,False,True,500,500.0,include_art
sparse_500_flow500,delta_eff,degree,-0.014227868593659865,498,80899,160,0,False,True,500,500.0,include_art
sparse_500_flow500,delta_conn_pairs,degree,,498,80899,160,0,False,True,500,500.0,include_art
sparse_500_flow500,delta_conn_pairs,strength,,498,80899,160,0,False,True,500,500.0,include_art
sparse_500_flow500,delta_conn_pairs,betweenness,,498,80899,160,0,False,True,500,500.0,include_art
sparse_500_flow500,delta_conn_pairs,eigenvector,,498,80899,160,0,False,True,500,500.0,include_art
sparse_500_flow500,delta_conn_pairs,cf_closeness,,498,80899,160,0,False,True,500,500.0,include_art
