id,infra,name,iso3,Continent_Code,geometry,canal_main,v_out,q_out,v_in,q_in,v_total,q_total
port0,port,Abbot Point_Australia,AUS,OC,POINT (148.0776204373203 -19.89375524723548),Suez,15538684.787892787,49090.73465194691,954798.0694006326,381.0632835605488,16493482.85729342,49471.79793550746
port28,port,Albany_Australia,AUS,OC,POINT (117.89715377479784 -35.0340247742859),Suez,11847161.285475358,11492.578084761872,0.0,0.0,11847161.285475358,11492.578084761872
port161,port,Botany Bay_Australia,AUS,OC,POINT (151.2158951934467 -33.98153450901857),Suez,20610467.681923166,14562.75229671266,5462607.611083779,563.8312068487509,26073075.293006945,15126.58350356141
port174,port,Brisbane_Australia,AUS,OC,POINT (153.14558323614085 -27.40850097251321),Suez,5064.693582375009,1.5996942966217746,107874108.33684157,37025.980987198185,107879173.03042394,37027.58068149481
port176,port,Broome_Australia,AUS,OC,POINT (122.20673937075573 -18.000500198595883),Suez,0.0,0.0,547100.0300145405,408.970622125287,547100.0300145405,408.970622125287
port190,port,Bunbury_Australia,AUS,OC,POINT (115.66453747206657 -33.322300045531605),Suez,31655487.817224327,13171.214470032333,66312338.71424488,30774.599932472935,97967826.53146921,43945.81440250527
port194,port,Burnie_Australia,AUS,OC,POINT (145.91063784867032 -41.053389287703084),Suez,654736.6086996952,353.94652556395584,0.0,0.0,654736.6086996952,353.94652556395584
port276,port,Dampier_Australia,AUS,OC,POINT (116.7424761471211 -20.626686598862754),Suez,1567502.160998845,801.509691422141,6564820.2804248845,2083.5318904314954,8132322.441423729,2885.0415818536367
port280,port,Darwin_Australia,AUS,OC,POINT (130.9019044128822 -12.497946677904423),Suez,120012274.38710028,84582.42000220591,49874774.04602289,18805.570336960107,169887048.43312317,103387.99033916602
port331,port,Esperance_Australia,AUS,OC,POINT (121.90073734497213 -33.87217365996532),Suez,18698.30272977146,133.12480325595487,0.0,0.0,18698.30272977146,133.12480325595487
port361,port,Fremantle_Australia,AUS,OC,POINT (115.77052416812684 -32.152032519524546),Suez,36947645.43911209,37335.699179856136,4231756437.1347804,685150.1612257697,4268704082.5738926,722485.8604056258
port383,port,Geelong_Australia,AUS,OC,POINT (144.36537251126336 -38.095292647827776),Suez,19376310133.929558,276403.47215996654,13275994.97053465,4992.748307693273,19389586128.900093,281396.2204676598
port391,port,Geraldton_Australia,AUS,OC,POINT (114.59419328868513 -28.776094489539258),Suez,62724310.17542594,36862.62179876949,52953383.64272923,40804.715288174004,115677693.81815517,77667.3370869435
port398,port,Gladstone_Australia,AUS,OC,POINT (151.21552767768955 -23.819079690458192),Suez,0.0,0.0,2187312.887421321,1866.6113887320842,2187312.887421321,1866.6113887320842
port406,port,Gorgon LNG_Australia,AUS,OC,POINT (115.45976156569424 -20.79232174218242),Suez,0.0,0.0,1787.1862880186013,0.0558992142449164,1787.1862880186013,0.0558992142449164
port458,port,Haypoint_Australia,AUS,OC,POINT (149.28745403108044 -21.28124079171913),Suez,344108854.7829227,647520.4180944875,44993112.7301747,16711.9302181089,389101967.5130974,664232.3483125964
port469,port,Hobart_Australia,AUS,OC,POINT (147.32201965198996 -42.84702724740917),Suez,1936.1851282008756,0.6717835868506464,0.0,0.0,1936.1851282008756,0.6717835868506464
port591,port,Koolan_Australia,AUS,OC,POINT (123.7504540711056 -16.142941066304147),Suez,0.0,0.0,33618.90152653273,12.890731758856088,33618.90152653273,12.890731758856088
port729,port,Melbourne_Australia,AUS,OC,POINT (144.91755968326098 -37.82817815890304),Suez,655751.2067915518,76.49907760751879,3856766543.5944686,610761.513838602,3857422294.80126,610838.0129162095
port741,port,Milner Bay_Australia,AUS,OC,POINT (136.4230735509143 -13.858777774723633),Suez,84130.37157038697,68.64266959303905,30553.26796366467,8.936317140955708,114683.63953405165,77.57898673399475
port816,port,Newcastle_Australia,AUS,OC,POINT (151.757747141857 -32.89445588348178),Suez,3175843.639294101,131.31469686403818,40490001.298665,16855.69518741246,43665844.937959105,16987.0098842765
port929,port,Port Adelaide_Australia,AUS,OC,POINT (138.5057187252718 -34.810396377508106),Suez,47929266.746611364,54479.25466691513,1277323.8283963893,266.3008077788709,49206590.57500775,54745.555474693996
port930,port,Port Alma_Australia,AUS,OC,POINT (150.86011215382644 -23.584812223961293),Suez,0.0,0.0,723352.2883683379,3373.2836650974155,723352.2883683379,3373.2836650974155
port955,port,Port Hedland_Australia,AUS,OC,POINT (118.56434162641783 -20.33066002730353),Suez,5197069.319681792,5934.748688628825,77653432.28801288,30853.903558818423,82850501.60769467,36788.65224744725
port959,port,Port Kembla_Australia,AUS,OC,POINT (150.88448543445628 -34.46209936221515),Suez,5811848.078807503,954.2152599536136,3286597.2101632874,301.57451400947616,9098445.28897079,1255.7897739630898
port964,port,Port Lincoln_Australia,AUS,OC,POINT (135.87019979037743 -34.72199883261262),Suez,203157193.8802785,327339.50500899536,0.0,0.0,203157193.8802785,327339.50500899536
port981,port,Port Walcott_Australia,AUS,OC,POINT (117.16565147964195 -20.60828612370769),Suez,0.0,0.0,164940.1227786048,58.51439759993475,164940.1227786048,58.51439759993475
port992,port,Portland_Australia,AUS,OC,POINT (141.61718512952257 -38.35404187244423),Suez,58888.62496616941,8.038051099015279,6743512.374364966,2275.3786009552764,6802400.999331135,2283.4166520542917
port1243,port,Sydney_Australia,AUS,OC,POINT (151.18561722519004 -33.85321044637644),Suez,618100.4369849445,772.7307761572391,0.0,0.0,618100.4369849445,772.7307761572391
port1294,port,Thevenard_Australia,AUS,OC,POINT (133.64843997140636 -32.14851383766962),Suez,20526.618751036975,17.372545094222165,0.0,0.0,20526.618751036975,17.372545094222165
port1315,port,Townsville_Australia,AUS,OC,POINT (146.83641161719981 -19.25646587785041),Suez,2252.783728484077,0.2973691379751045,93235216.92421295,37529.14884849566,93237469.70794143,37529.44621763363
port1391,port,Western Port_Australia,AUS,OC,POINT (145.2124933625121 -38.30737611835503),Suez,29293265.36149046,6507.543304487295,55000668.94442564,14680.0806738165,84293934.3059161,21187.623978303796
port1,port,Abenra_Denmark,DNK,EU,POINT (9.428136552151019 55.04254248414652),Suez,0.0,0.0,107103.4924527844,10.581599216395205,107103.4924527844,10.581599216395205
port67,port,Arhus_Denmark,DNK,EU,POINT (10.229250698962224 56.15113462998881),Suez,0.0,0.0,1365694.7030652417,399.64882329676044,1365694.7030652417,399.64882329676044
port328,port,Esbjerg_Denmark,DNK,EU,POINT (8.46705790148358 55.46312208377105),Suez,45092664.01367856,71265.56877448285,413287.21308206004,252.99184507516088,45505951.22676062,71518.560619558
port354,port,Fredericia_Denmark,DNK,EU,POINT (9.746943976209499 55.55789495739138),Suez,3994528.0812119828,436.82829418119513,54114.68293432336,19.385971836109583,4048642.764146306,456.21426601730474
port355,port,Frederikshavn_Denmark,DNK,EU,POINT (10.545880590458468 57.43847820033015),Suez,4151083.149375287,6539.028940420369,126244848.82477705,494338.7966460848,130395931.97415234,500877.8255865052
port532,port,Kalundborg_Denmark,DNK,EU,POINT (11.100603982134244 55.665867465647246),Suez,649620.4093560156,251.8085383762628,55237615.0765402,110193.98320588555,55887235.485896215,110445.79174426182
port582,port,Kobenhavn_Denmark,DNK,EU,POINT (12.615333521024915 55.69510321588264),Suez,56356160.79500157,13975.695057106508,774665.9246815237,929.3986964296121,57130826.71968309,14905.09375353612
