id,name,iso3,Continent_Code,Import_export,Total_export,Import_demand,Total_demand,import_req_dom,import_multiplier,import_multiplier_scale
port0,Abbot Point_Australia,AUS,OC,7220.406491340835,161023043.59314752,5428.931911140237,98373497.54570444,12649.338402481073,4.8764483701076144e-05,0.048764483701076146
port1,Abenra_Denmark,DNK,EU,252892.45171246407,70107891.87693407,118027.2029728082,35559707.30309871,370919.65468527225,0.0035102496655887135,3.5102496655887134
port10,Agadir_Morocco,MAR,AF,53578.37146046499,12219988.33325212,88469.60453985649,17670883.085876,142047.97600032148,0.004752219298277817,4.752219298277817
port100,Baku Port_Azerbaijan,AZE,EU,4725.14961218606,4720134.088380719,5356.007306527405,6718840.527810999,10081.156918713465,0.0008812990024860899,0.8812990024860898
port1000,Porto De Maceio_Brazil,BRA,SA,90212.03980610588,123092161.98041466,416421.3867084397,510237237.2770432,506633.4265145456,0.0007999524846131318,0.7999524846131317
port1001,Porto De Mucuripe_Brazil,BRA,SA,118901.2602249011,123092161.98041466,546058.7208837848,510237237.2770432,664959.981108686,0.0010499433342085701,1.0499433342085702
port1002,Porto De Suape_Brazil,BRA,SA,487410.4317957722,123092161.98041466,2074137.7816341089,510237237.2770432,2561548.2134298813,0.004044574934359827,4.044574934359827
port1003,Porto Di Chioggia_Italy,ITA,EU,108154.36845072928,446013258.5380951,65805.60653650528,365780032.430464,173959.97498723457,0.00021429097397402864,0.21429097397402863
port1004,Porto Di Corsini_Italy,ITA,EU,842686.5023965512,446013258.5380951,575838.7496771368,365780032.430464,1418525.252073688,0.0017473971118697354,1.7473971118697353
port1005,Porto Di Lido-Venezia_Italy,ITA,EU,1749126.1582402445,446013258.5380951,1037617.0389413366,365780032.430464,2786743.197181581,0.003432823636490871,3.432823636490871
port1006,Porto Di Malamocco_Italy,ITA,EU,764978.1112670093,446013258.5380951,580413.3403138032,365780032.430464,1345391.4515808125,0.0016573079213005218,1.6573079213005217
port1007,Porto Di Oristano_Italy,ITA,EU,36416.58613892725,446013258.5380951,61858.96566209107,365780032.430464,98275.55180101832,0.0001210598226104637,0.12105982261046369
port1008,Porto Di Palermo_Italy,ITA,EU,282351.01164395944,446013258.5380951,260307.15842939663,365780032.430464,542658.170073356,0.000668468409520735,0.668468409520735
port1009,Porto Grande_Cape Verde,CPV,AF,2908.7516637688827,52957.10135903997,21885.002046216323,409186.6054809999,24793.753709985205,0.0536494457092477,53.6494457092477
port101,Balboa_Panama,PAN,NA,100230.89230874722,2492987.0107425484,278421.7393218588,6507738.542614,378652.631630606,0.04206912313745629,42.06912313745629
port1010,Porto Pecem_Brazil,BRA,SA,130449.7983152794,123092161.98041466,454991.56163022266,510237237.2770432,585441.359945502,0.0009243868366633511,0.9243868366633512
port1011,Porto Torres_Italy,ITA,EU,459052.3697097185,446013258.5380951,259285.37702337076,365780032.430464,718337.7467330892,0.0008848776587892626,0.8848776587892626
