name,id,iso3,multiplier,multiplier_dom,multiplier_row,frac_bw_fw,frac_row_dom,D_economic_total,C,dom_ind_share,glob_ind_share,dom_C_com_share,glob_C_com_share,Dind_total
Abbot Point_Australia,port0,AUS,5.329,1.835,3.494,0.634094207,1.872512585,16496945.58,214187.7524,0.215048269,0.01069973,0.007663909,0.001045108,16282757.82
Albany_Australia,port28,AUS,3.624,1.912,1.712,1.959357889,0.757326534,4745941.155,412294.8144,0.093555845,0.002847727,0.022054709,0.002011752,4333646.341
Botany Bay_Australia,port161,AUS,4.122,1.601,2.521,1.914536383,1.671271462,174889609,18785588.38,2.217001527,0.102579115,5.514769648,0.091662409,156104020.6
Brisbane_Australia,port174,AUS,4.106,1.57,2.536,1.60870815,1.568995949,174683847.2,17951114.64,2.314548118,0.102992254,3.366974875,0.087590678,156732732.6
Broome_Australia,port176,AUS,4.074,1.785,2.289,1.585404798,1.277784658,371285.9316,32450.84099,0.005643463,0.000222655,0.008117708,0.000158341,338835.0907
Bunbury_Australia,port190,AUS,4.11,1.914,2.195,1.588129822,1.004187075,17174848.38,1683127.045,0.293245494,0.010179924,0.157152374,0.008212651,15491721.34
Burnie_Australia,port194,AUS,4.352,1.859,2.493,1.084703498,1.240204757,4940377.98,282094.6023,0.078887486,0.003061052,0.017906406,0.001376453,4658283.377
Cairns_Australia,port204,AUS,3.903,1.748,2.154,1.813466273,1.125372618,1069771.704,113692.4049,0.017065883,0.000628259,0.01708603,0.000554751,956079.2996
Dampier_Australia,port276,AUS,5.263,1.919,3.344,0.725992336,1.702297211,107593927.6,1966853.788,1.482900677,0.06940969,0.08009304,0.009597067,105627073.8
Darwin_Australia,port280,AUS,4.145,1.439,2.706,1.38022922,1.844724111,9930867.296,773711.3406,0.122121009,0.006017353,0.133179887,0.003775247,9157155.955
Devonport_Australia,port288,AUS,3.969,1.691,2.277,1.664285448,1.312936883,2856910.466,321239.0379,0.041590977,0.001666241,0.070520083,0.001567454,2535671.428
Esperance_Australia,port331,AUS,3.834,0.923,2.911,1.60850614,3.098870603,1145.356203,116.0324064,9.53E-06,6.76E-07,1.44E-05,5.66E-07,1029.323797
Fremantle_Australia,port361,AUS,4.147,1.853,2.294,1.607056425,1.200522835,100962129,8541321.907,1.593359614,0.060731585,1.808867864,0.04167653,92420807.13
Geelong_Australia,port383,AUS,4.076,1.707,2.369,1.976026109,1.477612373,7100763.028,827853.1644,0.096051823,0.004122056,0.256776118,0.004039427,6272909.863
Geraldton_Australia,port391,AUS,3.861,1.875,1.986,1.776527269,0.853374248,28127218.61,3413679.666,0.505873283,0.016239767,0.187832448,0.01665671,24713538.94
Gladstone_Australia,port398,AUS,4.971,1.936,3.035,0.86339064,1.559867536,108424687.8,1860386.139,1.579298338,0.070025562,0.352193534,0.009077569,106564301.6
Gorgon LNG_Australia,port406,AUS,5.321,1.776,3.544,0.627604241,2.014259527,6014861.033,92358.25091,0.074540887,0.003891797,0.0252107,0.000450653,5922502.782
Gove_Australia,port411,AUS,5.19,2.383,2.807,1.116773187,1.177949559,3169117.856,11718.49882,0.054998599,0.002074791,0.003187955,5.72E-05,3157399.358
Haypoint_Australia,port458,AUS,5.026,1.96,3.066,0.821058953,1.502548604,62647892.87,1820481.115,0.922118519,0.039970925,0.071968695,0.008882856,60827411.76
Hobart_Australia,port469,AUS,4.262,1.574,2.688,1.833910638,2.037142636,2657007.762,246285.5223,0.030112854,0.001584134,0.109168578,0.001201726,2410722.239
Koolan_Australia,port591,AUS,4.579,1.873,2.706,0.908644583,1.344491129,1682521.344,74800.27039,0.026015492,0.001056466,0.001388719,0.00036498,1607721.073
Mackay_Australia,port675,AUS,3.849,1.786,2.063,1.779317282,1.066625307,12030450.9,1314663.076,0.196712651,0.007041561,0.230684921,0.006414768,10715787.83
Melbourne_Australia,port729,AUS,4.019,1.681,2.338,2.330196104,1.419691849,127160203.3,16297021.09,1.738189839,0.072850443,4.295256292,0.079519693,110863182.2
Milner Bay_Australia,port741,AUS,4.291,1.976,2.315,1.25799007,1.035071862,1346066.747,88045.46798,0.023451907,0.000826671,0.000945768,0.000429609,1258021.279
Newcastle_Australia,port816,AUS,4.516,2.005,2.511,1.175413138,1.150240914,73044916.74,3851971.775,1.220800285,0.045468086,0.145484167,0.018795313,69192944.97
Onslow_Australia,port854,AUS,5.718,1.787,3.932,0.516772217,2.201469461,492698.5295,302.6330669,0.005834921,0.000323563,8.37E-05,1.48E-06,492395.8965
Point Murat_Australia,port918,AUS,3.563,1.731,1.832,1.707616382,0.801132001,3994.570667,499.9983491,7.36E-05,2.30E-06,0,2.44E-06,3494.572317
Port Adelaide_Australia,port929,AUS,4.233,1.907,2.326,1.36155356,1.131839494,13282723.09,980424.7367,0.218928186,0.008084089,0.123569116,0.004783885,12302298.35
Port Alma_Australia,port930,AUS,4.296,1.769,2.526,1.065236995,1.366564961,959412.0691,54631.82161,0.014504228,0.000594549,0.007480687,0.000266571,904780.2475
Port Bonython_Australia,port937,AUS,5.687,1.765,3.922,0.522173771,2.23755514,884500.5502,2238.050523,0.010338334,0.000579753,0.001132495,1.09E-05,882262.4997
Port Dalrymple_Australia,port940,AUS,4.223,1.748,2.475,1.800879909,1.497797501,4488210.48,437272.0514,0.061527369,0.002661954,0.137398759,0.002133625,4050938.429
Port Giles_Australia,port953,AUS,3.635,2.064,1.571,2.624412916,0.554323447,7418210.372,872318.1042,0.15977079,0.004301438,0,0.004256389,6545892.268
Port Hedland_Australia,port955,AUS,5,1.866,3.134,0.739805356,1.636762095,126247427.2,2261135.43,1.783908817,0.081473904,0.054314203,0.011032985,123986291.7
Port Kembla_Australia,port959,AUS,3.947,1.868,2.08,2.025944222,0.999393794,23851616.78,2796917.348,0.399503542,0.01383547,0.439439398,0.01364728,21054699.43
Port Latta_Australia,port962,AUS,4.404,1.929,2.475,1.133558482,1.144874282,754739.9678,50217.80014,0.012461283,0.000462956,0.001241241,0.000245033,704522.1676
Port Lincoln_Australia,port964,AUS,3.683,1.87,1.813,2.25878199,0.777521746,12374617.08,1623874.354,0.229452859,0.007064531,0.136931397,0.007923533,10750742.73
Port Pirie_Australia,port974,AUS,4.727,1.843,2.884,1.382730724,1.6257595,13550536.29,674212.5243,0.186040231,0.008461293,0.22099946,0.003289753,12876323.76
Port Walcott_Australia,port981,AUS,4.795,1.892,2.903,0.863063773,1.436952927,14527669.95,581187.4523,0.217113822,0.009164516,0.00577333,0.002835846,13946482.49
Portland_Australia,port992,AUS,3.688,1.932,1.756,2.4549543,0.703446237,12143806.91,1692763.344,0.232756145,0.006867592,0.132440801,0.00825967,10451043.57
Sydney_Australia,port1243,AUS,4.586,1.758,2.828,0.763337158,1.631486494,8285693.491,138426.9203,0.117457488,0.005353734,0.04639674,0.00067544,8147266.571
Thevenard_Australia,port1294,AUS,3.619,1.913,1.705,2.094748276,0.670477632,7397725.637,896396.1669,0.147649316,0.004272155,0.01158533,0.004373876,6501329.471
Townsville_Australia,port1315,AUS,3.944,1.869,2.075,2.018042795,0.996329383,29467701.33,3396228.17,0.495453956,0.017132093,0.52599283,0.016571557,26071473.16
Wallaroo_Australia,port1380,AUS,4.297,2.062,2.234,1.397019336,0.929230324,4128819.451,305722.4174,0.075179801,0.002512235,0,0.001491742,3823097.034
Weipa_Australia,port1387,AUS,5.117,1.861,3.256,0.719497626,1.674473642,5868964.381,170138.0292,0.080838274,0.003744814,0.00212438,0.000830172,5698826.352
Western Port_Australia,port1391,AUS,4.759,1.799,2.96,0.768862779,1.62750455,5774949.205,94765.04241,0.082014165,0.003732564,0.012575669,0.000462397,5680184.163
Whyalla_Australia,port1395,AUS,5.297,2.025,3.273,1.198769034,1.678607345,974751.6634,16397.92345,0.01357334,0.000629754,0.008581006,8.00E-05,958353.74
Abenra_Denmark,port1,DNK,4.543,1.004,3.538,1.312940265,3.69479515,13673203.64,764244.5049,0.370244855,0.008482739,0.458711901,0.003729055,12908959.14
Alborg_Denmark,port29,DNK,4.627,1.33,3.296,1.291077968,2.665754679,9351975.935,449885.9805,0.326996447,0.005849744,0.437758733,0.002195174,8902089.955
Arhus_Denmark,port67,DNK,4.342,0.87,3.472,1.988349032,4.34106686,152366093.6,14109095.63,3.485568012,0.090851474,7.791333703,0.068843928,138256998
Esbjerg_Denmark,port328,DNK,4.354,1.076,3.278,2.092841747,3.458725305,9011938.297,964146.7424,0.24304151,0.005288367,0.710040783,0.004704458,8047791.555
Fredericia_Denmark,port354,DNK,4.326,1.028,3.298,1.714874486,3.237620697,67664901.97,5701250.381,1.968925916,0.040717571,2.442556455,0.027818684,61963651.59
Frederikshavn_Denmark,port355,DNK,4.405,1.1,3.305,1.363291833,3.061081118,1192010.828,75538.50276,0.037018665,0.000733657,0.038186445,0.000368583,1116472.325
Freeriksvaerk_Denmark,port359,DNK,4.952,1.457,3.495,1.231974888,2.578819637,5355475.54,160080.893,0.195475883,0.003413999,0.208112892,0.000781099,5195394.647
Grenaa Havn_Denmark,port419,DNK,4.128,1.102,3.026,1.652227136,2.610219829,853595.1128,82763.95707,0.028750147,0.000506529,0.023962753,0.000403838,770831.1557
Hirtshals_Denmark,port467,DNK,4.356,1.137,3.219,1.942556243,2.774802927,1253810.568,118872.5013,0.040484831,0.000745791,0.044479636,0.000580027,1134938.067
Hobro_Denmark,port470,DNK,4.568,1.274,3.294,1.427221542,3.113354825,278105.6358,15374.46789,0.008600622,0.000172646,0.022968024,7.50E-05,262731.1679
Kalundborg_Denmark,port532,DNK,4.344,1.36,2.984,1.487155651,2.371070157,100063140.4,7331394.645,3.70403514,0.060935909,6.41331196,0.035772811,92731745.75
Kobenhavn_Denmark,port582,DNK,4.287,1.385,2.902,1.807126321,2.294072268,53953733.86,4938825.63,2.003593086,0.032208689,4.287493176,0.024098508,49014908.23
Koge_Denmark,port585,DNK,4.531,1.568,2.963,1.225618962,1.980925723,6711283.871,284064.4946,0.290326329,0.004223456,0.279862844,0.001386064,6427219.376
Kolding_Denmark,port588,DNK,4.618,1.232,3.386,1.262094069,3.069512628,7690307.463,369811.6426,0.242221422,0.004810446,0.423167555,0.001804459,7320495.82
Nyborg_Denmark,port837,DNK,4.616,1.416,3.2,1.196864732,2.388685968,9987179.967,403253.533,0.380826008,0.006297792,0.395588513,0.001967635,9583926.434
Odense_Denmark,port842,DNK,4.38,1.331,3.049,0.919650311,2.241921378,6672694.188,252565.6742,0.266658663,0.004218797,0.079471015,0.001232369,6420128.514
Randers_Denmark,port1085,DNK,4.313,0.996,3.317,1.511936805,3.953285339,2140127.446,173743.2897,0.05345514,0.001292151,0.163229185,0.000847763,1966384.156
Skagen Havn_Denmark,port1204,DNK,4.316,1.09,3.226,1.482804913,2.911592489,9784542.609,733880.8492,0.311559634,0.005947373,0.262845329,0.003580899,9050661.76
Thyboron_Denmark,port1296,DNK,4.541,1.412,3.129,1.397381596,2.078248701,1557247.326,95122.75543,0.063958037,0.000960792,0.015391159,0.000464142,1462124.571
Aberdeen_U.S.A.,port2,USA,3.973,1.88,2.093,3.303071831,0.969545224,20132996.4,2904062.451,0.029740958,0.011321482,0.020847365,0.014170084,17228933.95
Anchorage_U.S.A.,port48,USA,4.302,1.09,3.212,1.23024388,2.675120031,15636847.44,1216779.76,0.013340075,0.009475719,0.001042495,0.005937156,14420067.68
Baltimore_U.S.A.,port103,USA,4.24,1.572,2.668,2.060982123,1.96299152,377499293.2,39298802.39,0.388066654,0.222238394,0.691531405,0.191754596,338200490.8
Barbor's Point_U.S.A.,port117,USA,4.294,1.714,2.58,1.116929018,1.678240865,44668433.74,2030431.218,0.054126472,0.028018295,0.05111686,0.009907287,42638002.52
Baton Rouge_U.S.A.,port126,USA,4.263,1.7,2.563,1.413532389,1.598952222,92894340.54,5775833.978,0.113965822,0.057247336,0.094458759,0.028182607,87118506.56
Bay City_U.S.A.,port130,USA,4.166,1.823,2.343,0.847770125,1.273629856,641232.2312,8783.654506,0.000945732,0.000415595,6.61E-05,4.29E-05,632448.5766
Beaumont_U.S.A.,port134,USA,4.432,1.904,2.528,0.987560047,1.273743652,63277843.97,1788181.986,0.091943939,0.040406103,0.003853461,0.008725256,61489661.98
Bellingham_U.S.A.,port143,USA,4.262,1.596,2.666,0.81906695,1.63970672,13302883.5,276649.3267,0.01677744,0.008559802,0.001265544,0.001349883,13026234.17
Benicia_U.S.A.,port144,USA,4.164,1.764,2.401,1.202928868,1.495213261,47220661.97,2817661.813,0.06050164,0.029178111,0.058971569,0.0137485,44403000.16
Boston_U.S.A.,port159,USA,4.16,1.186,2.974,2.081943897,3.119733423,287017292.5,27021799.82,0.21456516,0.170848306,0.501155486,0.131850183,259995492.7
Bridgeport_U.S.A.,port170,USA,3.643,2.034,1.609,0.576369801,0.830442645,284528.7719,7516.313771,0.000514524,0.00018203,0.000201113,3.67E-05,277012.4582
Brownsville_U.S.A.,port177,USA,4.161,1.326,2.835,1.139261394,2.183096182,4558612.224,174512.5782,0.004682666,0.002880881,0.002021965,0.000851517,4384099.646
Brunswick_U.S.A.,port180,USA,4.048,1.397,2.651,5.560334813,3.302904845,72979559.26,13603458.62,0.046915077,0.039017239,0.304559746,0.066376723,59376100.64
Buffington_U.S.A.,port185,USA,4.377,0.391,3.985,1.316219915,9.779560235,130062.3016,4779.665279,3.95E-05,8.23E-05,0,2.33E-05,125282.6363
Burns Harbor_U.S.A.,port195,USA,4.364,1.075,3.289,1.35955548,3.251416406,8661826.525,350302.164,0.006646753,0.005461671,0.004758705,0.001709265,8311524.361
Calumet Harbor_U.S.A.,port209,USA,4.123,1.724,2.399,0.855553307,1.393039165,4618880.602,96055.25561,0.006425731,0.00297204,0.001097385,0.000468692,4522825.346
