id,infra,name,iso3,Continent_Code,geometry,v_im_dom,v_im_for,v_ex_dom,v_ex_for,v_trans_all,v_trans_for,v_trans_dom,throughput,import,export,ratio_for_import,ratio_for_export,ratio_for_throughput,throughput_foreign
port0,port,Abbot Point_Australia,AUS,OC,POINT (148.0776204373203 -19.89375524723548),213459218.6,0,2014271952,0,219361983.3,0,219361983.3,2447093154,213459218.6,2014271952,0,0,0,0
port28,port,Albany_Australia,AUS,OC,POINT (117.89715377479784 -35.0340247742859),55191428.81,0,986499856.5,0,81113739.87,0,81113739.87,1122805025,55191428.81,986499856.5,0,0,0,0
port161,port,Botany Bay_Australia,AUS,OC,POINT (151.2158951934467 -33.98153450901857),48013620554,0,4806302002,0,12946263507,2832464153,10113799354,65766186063,48013620554,4806302002,0,0,0.0430687,2832464153
port174,port,Brisbane_Australia,AUS,OC,POINT (153.14558323614085 -27.40850097251321),22586249715,0,6201223784,0,22629883973,4046160970,18583723003,51417357471,22586249715,6201223784,0,0,0.078692511,4046160970
port176,port,Broome_Australia,AUS,OC,POINT (122.20673937075573 -18.000500198595883),42942602.96,0,18562494.04,0,411645.2232,62069.01565,349576.2075,61916742.22,42942602.96,18562494.04,0,0,0.001002459,62069.01565
port190,port,Bunbury_Australia,AUS,OC,POINT (115.66453747206657 -33.322300045531605),927251845.9,0,3709592292,0,182624211.4,0,182624211.4,4819468349,927251845.9,3709592292,0,0,0,0
port194,port,Burnie_Australia,AUS,OC,POINT (145.91063784867032 -41.053389287703084),235605712.8,0,521423215,0,51343184.58,0,51343184.58,808372112.4,235605712.8,521423215,0,0,0,0
port204,port,Cairns_Australia,AUS,OC,POINT (145.77319948948178 -16.941215682060164),605273156,0,102217979.3,0,116280804.3,11967678.58,104313125.7,823771939.6,605273156,102217979.3,0,0,0.014527903,11967678.58
port276,port,Dampier_Australia,AUS,OC,POINT (116.7424761471211 -20.626686598862754),1674825845,0,37261517489,0,12978785193,240399.9306,12978544793,51915128528,1674825845,37261517489,0,0,4.63E-06,240399.9306
port280,port,Darwin_Australia,AUS,OC,POINT (130.9019044128822 -12.497946677904423),1939261482,0,1046258493,0,1015195393,582058098.4,433137295,4000715367,1939261482,1046258493,0,0,0.145488505,582058098.4
port288,port,Devonport_Australia,AUS,OC,POINT (146.36590767642315 -41.18265809516222),561984733.5,0,125426880.8,0,77817.58231,0,77817.58231,687489431.9,561984733.5,125426880.8,0,0,0,0
port331,port,Esperance_Australia,AUS,OC,POINT (121.90073734497213 -33.87217365996532),0,0,0,0,1108979.801,94350.94535,1014628.855,1108979.801,0,0,0,0,0.085079048,94350.94535
port361,port,Fremantle_Australia,AUS,OC,POINT (115.77052416812684 -32.152032519524546),11587095296,0,5659298820,0,4709026091,63975847.79,4645050244,21955420207,11587095296,5659298820,0,0,0.002913898,63975847.79
port383,port,Geelong_Australia,AUS,OC,POINT (144.36537251126336 -38.095292647827776),1978989911,0,20129357480,0,1098905832,14692.52782,1098891139,23207253222,1978989911,20129357480,0,0,6.33E-07,14692.52782
port391,port,Geraldton_Australia,AUS,OC,POINT (114.59419328868513 -28.776094489539258),529081104.1,0,6674198810,0,20822709.6,0,20822709.6,7224102624,529081104.1,6674198810,0,0,0,0
port398,port,Gladstone_Australia,AUS,OC,POINT (151.21552767768955 -23.819079690458192),7955374439,0,13890534771,0,329184569.4,4360990.827,324823578.5,22175093779,7955374439,13890534771,0,0,0.000196662,4360990.827
port406,port,Gorgon LNG_Australia,AUS,OC,POINT (115.45976156569424 -20.79232174218242),22160283013,0,2689976864,0,190.6637507,0,190.6637507,24850260068,22160283013,2689976864,0,0,0,0
port411,port,Gove_Australia,AUS,OC,POINT (136.71669540589042 -12.196955579238546),38953929.35,0,230587613.3,0,1957759.46,0,1957759.46,271499302.1,38953929.35,230587613.3,0,0,0,0
port458,port,Haypoint_Australia,AUS,OC,POINT (149.28745403108044 -21.28124079171913),828188790.8,0,8978328974,0,15068717.53,0,15068717.53,9821586482,828188790.8,8978328974,0,0,0,0
port469,port,Hobart_Australia,AUS,OC,POINT (147.32201965198996 -42.84702724740917),970928464.9,0,131214179.5,0,4808.640436,0,4808.640436,1102147453,970928464.9,131214179.5,0,0,0,0
port591,port,Koolan_Australia,AUS,OC,POINT (123.7504540711056 -16.142941066304147),4439887.865,0,166052211.3,0,0,0,0,170492099.1,4439887.865,166052211.3,0,0,0,0
port675,port,Mackay_Australia,AUS,OC,POINT (149.22281899781342 -21.107340840381184),780749329.2,0,824019759.6,0,101731163.9,12763993.83,88967170.04,1706500253,780749329.2,824019759.6,0,0,0.007479632,12763993.83
port729,port,Melbourne_Australia,AUS,OC,POINT (144.91755968326098 -37.82817815890304),29277490846,0,4154342943,0,5391623678,540463739.2,4851159939,38823457467,29277490846,4154342943,0,0,0.013921062,540463739.2
port741,port,Milner Bay_Australia,AUS,OC,POINT (136.4230735509143 -13.858777774723633),13966106.2,0,401507022.1,0,0,0,0,415473128.3,13966106.2,401507022.1,0,0,0,0
port816,port,Newcastle_Australia,AUS,OC,POINT (151.757747141857 -32.89445588348178),2426788976,0,15299903363,0,286979583,26925688.02,260053895,18013671922,2426788976,15299903363,0,0,0.001494736,26925688.02
port854,port,Onslow_Australia,AUS,OC,POINT (115.00179811330474 -21.696394973844853),2309227.313,0,238161467,0,0,0,0,240470694.4,2309227.313,238161467,0,0,0,0
port918,port,Point Murat_Australia,AUS,OC,POINT (114.13851876500894 -21.957774147760198),0,0,1289644.817,0,0,0,0,1289644.817,0,1289644.817,0,0,0,0
port929,port,Port Adelaide_Australia,AUS,OC,POINT (138.5057187252718 -34.810396377508106),1219778154,0,1186074267,0,604122073.6,2804386.893,601317686.7,3009974494,1219778154,1186074267,0,0,0.000931698,2804386.893
port930,port,Port Alma_Australia,AUS,OC,POINT (150.86011215382644 -23.584812223961293),43838571.78,0,32009992.87,0,13188013.57,7100610.561,6087403.008,89036578.22,43838571.78,32009992.87,0,0,0.079749365,7100610.561
port937,port,Port Bonython_Australia,AUS,OC,POINT (137.76935381636602 -32.98889339455295),61949379.07,0,436621537.3,0,0,0,0,498570916.3,61949379.07,436621537.3,0,0,0,0
port940,port,Port Dalrymple_Australia,AUS,OC,POINT (146.8571601000373 -41.129372607166296),1423175090,0,284630687.9,0,12743993.85,4547.172526,12739446.68,1720549772,1423175090,284630687.9,0,0,2.64E-06,4547.172526
port953,port,Port Giles_Australia,AUS,OC,POINT (137.76004610960675 -35.02155950144049),0,0,1769153322,0,0,0,0,1769153322,0,1769153322,0,0,0,0
port955,port,Port Hedland_Australia,AUS,OC,POINT (118.56434162641783 -20.33066002730353),1699409044,0,40617936016,0,5572660.694,43730.21897,5528930.475,42322917721,1699409044,40617936016,0,0,1.03E-06,43730.21897
port959,port,Port Kembla_Australia,AUS,OC,POINT (150.88448543445628 -34.46209936221515),4529374167,0,1987194579,0,308996186,94115.25351,308902070.8,6825564931,4529374167,1987194579,0,0,1.38E-05,94115.25351
port962,port,Port Latta_Australia,AUS,OC,POINT (145.38204953898196 -40.85183204719588),8734135.872,0,137105140.6,0,0,0,0,145839276.4,8734135.872,137105140.6,0,0,0,0
port964,port,Port Lincoln_Australia,AUS,OC,POINT (135.87019979037743 -34.72199883261262),592133881,0,2500774591,0,18426091.65,0,18426091.65,3111334563,592133881,2500774591,0,0,0,0
port974,port,Port Pirie_Australia,AUS,OC,POINT (138.00949619127695 -33.16703825653448),5824261416,0,1725941479,0,13.7773609,0,13.7773609,7550202908,5824261416,1725941479,0,0,0,0
port981,port,Port Walcott_Australia,AUS,OC,POINT (117.16565147964195 -20.60828612370769),112889805.6,0,7313994482,0,116201.344,0,116201.344,7427000489,112889805.6,7313994482,0,0,0,0
port992,port,Portland_Australia,AUS,OC,POINT (141.61718512952257 -38.35404187244423),711067919.1,0,1519896248,0,1878121.747,163058.7625,1715062.985,2232842289,711067919.1,1519896248,0,0,7.30E-05,163058.7625
port1243,port,Sydney_Australia,AUS,OC,POINT (151.18561722519004 -33.85321044637644),767625641.5,0,163804719.5,0,4954388.773,237501.587,4716887.186,936384749.8,767625641.5,163804719.5,0,0,0.000253637,237501.587
port1294,port,Thevenard_Australia,AUS,OC,POINT (133.64843997140636 -32.14851383766962),21636335.77,0,1752904003,0,0,0,0,1774540339,21636335.77,1752904003,0,0,0,0
port1315,port,Townsville_Australia,AUS,OC,POINT (146.83641161719981 -19.25646587785041),3794523441,0,3569571830,0,1054357323,64093085.48,990264237.6,8418452593,3794523441,3569571830,0,0,0.007613405,64093085.48
port1380,port,Wallaroo_Australia,AUS,OC,POINT (137.61958304108052 -33.930070898118885),0,0,627876119.3,0,0,0,0,627876119.3,0,627876119.3,0,0,0,0
port1387,port,Weipa_Australia,AUS,OC,POINT (141.87647667594274 -12.653880095999757),43522560.65,0,2940924080,0,5828477.016,0,5828477.016,2990275118,43522560.65,2940924080,0,0,0,0
port1391,port,Western Port_Australia,AUS,OC,POINT (145.2124933625121 -38.30737611835503),153893138.5,0,685896349.9,0,1579462.618,0,1579462.618,841368951,153893138.5,685896349.9,0,0,0,0
port1395,port,Whyalla_Australia,AUS,OC,POINT (137.59020210605993 -33.00851704187169),138143547.1,0,33431501.28,0,0,0,0,171575048.4,138143547.1,33431501.28,0,0,0,0
port1,port,Abenra_Denmark,DNK,EU,POINT (9.428136552151019 55.04254248414652),908114746.8,447175531.3,394879479.3,89423008.25,1123461.581,1112136.972,11324.60865,1840716227,1355290278,484302487.5,0.329948158,0.184642884,0.292120354,537710676.5
port29,port,Alborg_Denmark,DNK,EU,POINT (9.991278756609262 57.05441309328929),686987799.3,30821919.77,417689109.3,69306884.89,3959698.257,3743270.19,216428.0678,1208765412,717809719.1,486995994.2,0.042938844,0.142315103,0.085932369,103872074.8
