node,degree,strength,betweenness,eigenvector,cf_closeness,Kbar,delta_conn_pairs,delta_eff,delta_aspl
port1201,406.0,328556010.4792558,0.24376906600895698,0.03427848981033964,1.476028683495823e-08,136316.62156071758,0.0,70341.23726596148,2.509131466594336e-07
port1414,444.0,76849936.37651716,0.0011952764976958525,0.0035924744192205762,1.4760286834957399e-08,136316.62156071758,0.0,918.1410221775295,1.512531818936164e-09
port434,409.0,19240872.71598182,0.0,0.0019138357284296025,1.4760286834953334e-08,136316.62156071758,0.0,-893.8899769785348,-8.730806963360811e-10
port474,460.0,91962989.2924197,0.0,0.009344895343614679,1.4760286834957354e-08,136316.62156071758,0.0,912.8106042629806,1.4617737672308372e-09
port540,382.0,30997457.135073356,0.0,0.00390561343488603,1.4760286834955516e-08,136316.62156071758,0.0,692.9207626491552,1.3535040821626202e-09
port543,357.0,37261547.16757424,0.0020201856299084833,0.004192962904965416,1.476028683495549e-08,136316.62156071758,0.0,1138.1007916324306,2.258550336857118e-09
port777,388.0,26703419.80120766,0.0,0.0019791148127019857,1.4760286834954437e-08,136316.62156071758,0.0,334.4581346587511,1.1081350834817135e-09
port955,254.0,462000089.87998235,0.117524299019926,0.3900566383175689,1.476028683495838e-08,136316.62156071758,0.0,89477.5228831037,6.826993000451662e-08
port1280,392.0,11639025.060511228,0.0,0.00044319648089674184,1.4760286834949225e-08,136316.62156071758,0.0,-1084.4235869549448,-1.7191672384358446e-09
port193,366.0,31642914.069798976,0.0006902300902187318,0.0010109726817623956,1.4760286834954997e-08,136316.62156071758,0.0,-13126.217730981996,8.294533847317507e-11
port260,422.0,68242229.52192186,0.01582478743428312,0.0031470509097836163,1.4760286834956899e-08,136316.62156071758,0.0,2514.4152100933716,4.55238900076922e-09
port287,403.0,12026772.057055587,0.0,0.0005290345494738836,1.4760286834949367e-08,136316.62156071758,0.0,-845.4309894508915,-6.991751765944297e-10
port504,445.0,40572246.61999119,0.0011279369766989031,0.001619397947207382,1.4760286834955887e-08,136316.62156071758,0.0,-383.8663133487571,4.735424930059856e-10
port960,456.0,118127585.36580636,0.0,0.018757381017739765,1.4760286834957723e-08,136316.62156071758,0.0,1380.0044084012043,1.6242343110283181e-09
